site,N1,betas.LCBD,River.dist.lake,Head.river.dist
10029,3.086163688,0.054792695,3.413784497,6.916100362
10030,5.177977715,0.031115841,5.488530796,8.118246196
10031,3.354325098,0.027368532,3.413784497,6.916100362
10032,4.293892107,0.03376551,6.709686415,8.118246196
10033,2.044143162,0.034994008,6.709686415,8.118246196
10034,4.640790016,0.055587985,3.93064847,6.32425143
10035,3.907393514,0.036396641,5.522862455,6.318714226
10036,2.624837108,0.047823103,4.67352661,5.532222152
10037,7.136604117,0.042831845,5.522862455,6.318714226
10038,6.455863891,0.042022078,6.101094617,6.464067132
10039,5.839830712,0.049622541,5.612617027,6.660395876
10040,1.428276039,0.052117763,0.979373574,5.732031147
10041,3.819619956,0.050776569,0.979373574,5.732031147
10042,6,0.057268016,4.67352661,5.532222152
10044,10.94277244,0.043323201,6.101094617,6.464067132
10046,3.96741838,0.028097589,5.612617027,6.660395876
10047,6.981167692,0.028327717,3.93064847,6.32425143
10048,11.98233537,0.036711719,3.406828958,6.464067132
10049,8.727707297,0.043200488,3.406828958,6.464067132
10052,8.243663508,0.046461481,6.322334079,6.648185037
10053,1.325004483,0.041108462,5.488530796,8.118246196
10054,4.139487244,0.04069159,5.443528959,6.329939735
10055,3.392007112,0.030116814,5.443528959,6.329939735
10056,6.575961008,0.045477811,6.322334079,6.648185037
CLS2_1,3.732495115,0.100555361,3.954342877,6.526262752
CLS2_3,3.132245478,0.088176074,5.722228663,6.816107753
CLS3_1,4.377502038,0.067215934,1.415853163,7.289694477
CLS3_2,4.935329581,0.067946115,4.295962978,7.323251903
CLS3_3,9.05806361,0.084414864,4.295962978,7.337929819
CLS4_1,3.935491883,0.076115775,2.7970887,7.764302499
CLS4_2,3.734082761,0.096381956,6.327961369,7.971994256
CLS4_3,7.310566546,0.069006543,6.634102308,8.038903945
CLS5_1 ,6.768752575,0.045684514,1.913977102,8.094656511
ELS2_1,4.047166974,0.072733519,3.044522438,5.332341355
ELS2_2,2.835008336,0.094749579,5.213095124,5.91237675
ELS2_3,4.664815703,0.080029885,5.562983814,6.10148675
ELS3_1,4.371369344,0.034918855,4.92744934,6.795752185
ELS3_2,3.05374002,0.078446776,5.481560628,6.903983975
ELS3_3,4.820105499,0.069013533,6.081986975,7.084991352
ELS4_1,1.311523414,0.043035229,2.915209439,7.974739395
ELS4_2,5.124868758,0.074667794,5.385023075,8.010922442
ELS4_3,3.201897452,0.019970735,5.882541111,8.056521972
ELS5_1,3.495566685,0.02045829,0.693147181,8.132354457
ELS5_2,2.119752853,0.030783298,3.433987204,8.123499099
ELS5_3,3.660961771,0.018183124,4.262679877,8.127789359
ELS6_1,1.427528139,0.031759748,2.105171393,8.168295347
ELS6_2,7.833831815,0.051532629,6.330054,8.317453955
ELS6_3,1.047398967,0.090332988,7.045628935,8.451345013
ELS7_1,2.928979459,0.043828035,2.985669983,8.621890831
ELS7_2,3.302301157,0.021969492,6.26109253,8.708782544
ELS7_3,3.4443809,0.031013342,6.897122227,8.782859329
ELS8_1,1.989360657,0.032974909,4.009707599,8.990609476
ELS8_2,5.120996653,0.024237865,5.182985103,9.005826104
ELS8_3,6.061735336,0.035360375,5.562979777,9.015883317
Outlet.10477.trt.2003,7.709948667,0.050356697,4.751984601,6.600859807
Outlet.10477.trt.2004,2.503783969,0.054186794,4.751984601,6.600859807
Outlet.10477.trt.2011,2.274107025,0.061573352,4.751984601,6.600859807
Outlet.10487.trt.2003,4.11324686,0.038109159,4.912054625,7.829163347
Outlet.10487.trt.2004,8.624927478,0.028165497,4.912054625,7.829163347
Outlet.10487.trt.2011,11.20908109,0.024611165,4.912054625,7.829163347
Outlet.10494.trt.2012,6.100020511,0.03019996,4.751984601,6.600859807
Outlet.11007.fishless.2003,7.134309452,0.049844484,5.338057387,7.863960303
Outlet.11007.fishless.2004,5.122479558,0.062140074,5.338057387,7.863960303
Outlet.11007.fishless.2011,6.919134136,0.060584144,5.338057387,7.863960303
Outlet.Vidette.below.2003,6.58451181,0.031448089,6.301292479,7.863801231
Outlet.Vidette.below.2004,10.6777742,0.029509302,6.301292479,7.863801231
Outlet.Vidette.below.2011,9.083237537,0.024507728,6.301292479,7.863801231
Outlet.Vidette.below.2012,15.64745739,0.03848363,6.301292479,7.863801231
RLS2_1,6.34624107,0.034110833,3.562675348,6.835049044
RLS3_1,2.612024561,0.04235202,3.552364306,7.618305475
RLS3_2,7.009109624,0.036179401,3.711025515,7.619778511
RLS4_1,4.535807915,0.032206365,2.709153585,7.884122484
RLS4_2,3.180004257,0.02529511,6.35235901,8.075154128
RLS4_3,3.370061039,0.023865402,7.238127426,8.301835179
RLS5_1,8.134238884,0.028708114,1.913977102,8.467634323
RLS5_2,1.570607456,0.036407382,5.271008619,8.507518102
RLS5_3,2.866072057,0.029124969,5.623511555,8.523991143
RLS6_1,3.448127858,0.031648845,3.623696312,8.579347718
RLS6_2,6.926922883,0.042254509,6.304640177,8.670817338
YLS2_2,8.119402761,0.187960156,5.705286806,5.470207816
YLS2_3,9.660969343,0.225768442,5.884093111,5.691489569
YLS3_1,5.514549836,0.114808012,1.565469306,6.253674765
YLS3_3,2.404203479,0.102369806,6.009183869,6.830950687
YLS4_1,1.97962633,0.091271814,3.347924645,6.956986803
YLS4_3,4.529332619,0.188510905,5.854555402,7.223178729
RCLS2.1,3.167887237,0.036332444,5.615423214,6.761404673
RCLS2.2,4.308237244,0.037888744,6.393207234,7.079180936
RCLS2.3,10.0496011,0.025444929,6.798569961,7.303701525
RCLS2.4,8.245830498,0.021774036,6.886249228,7.357523516
RCLS2.5,5.037977063,0.031343482,7.269584165,7.613413077
RCLS2.6,4.833921196,0.018142504,7.360192608,7.67849503
RCLS3.1,2.141524174,0.019897292,3.557556445,7.912356135
RCLS3.2,3.367347491,0.02303022,4.59494629,7.935488098
RCLS3.3,3.19228822,0.018404669,5.471547918,7.983974618
RCLS3.4,6.880822606,0.030044394,5.975461137,8.035728704
RCLS3.5,11.24022135,0.025459401,6.25743184,8.076396191
RCLS4.1,1.194243236,0.027817525,1.915288926,8.218093332
RCLS4.2,2.78204623,0.019863736,4.077198403,8.218093332
RCLS4.3,1.762695004,0.021077602,4.773945404,8.217433919
RCLS5.1,1.221672682,0.026081091,2.546315278,8.288230547
RCLS5.2,1.406993464,0.024019218,4.324328216,8.281610139
RCLS5.3,1.96989292,0.023841151,4.830710862,8.268748489
RCLS6.1,1.338459131,0.025034493,0.740990908,8.334777211
RCLS6.2,2.807057417,0.014944544,4.847711441,8.364931977
RCLS6.3,8.888995873,0.021600078,5.720601915,8.405470205
RCLS6.4,12.12764875,0.019500867,5.886363886,8.417696522
RCLS6.5,5.544232549,0.038672393,6.24625333,8.451576094
RCLS7.1,4.625012618,0.018646473,1.913977102,8.532752106
RCLS7.2,8.262709242,0.031606652,5.812572983,8.596352103
RCLS7.3,6.689589676,0.035342963,6.540878907,8.660479044
RCLS7.4,9.32070532,0.030418759,6.95713347,8.720627062
RCLS7.5,7.122219961,0.046793072,7.162044132,8.758875382
RCLS7.6,6.982772915,0.035646099,7.686342588,8.889555824
RCLS7.7,4.192733164,0.047759708,7.821685284,8.932147543
RCLS8.1,1.649571706,0.02193031,3.575541704,9.033596385
RCLS8.2,8.896243048,0.028423918,4.716216967,9.042628417
RCLS8.3,10.50027477,0.022463863,7.542587902,9.233171282
RCLS8.4,5.525601338,0.036994092,8.467034897,9.480338752
RCLS8.5,10.52535468,0.034712555,9.242660632,9.834818448
RCLS8.7,11.31735959,0.021813381,9.623564316,10.06309748